127.0.0.1 - - [03/Feb/2020:16:36:47 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:36:48 +0530] "GET /EADSession3/Index.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:36:53 +0530] "GET /EADSession3/RegisterStudent.html HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:37:06 +0530] "POST /EADSession3/RegisterStudent HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:37:46 +0530] "GET /EADSession3/ShowStudent.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [03/Feb/2020:16:37:47 +0530] "GET /EADSession3/ShowStudent HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:21:34 +0530] "GET /EADSession3/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:21:40 +0530] "GET /EADSession3/RegisterStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:22:09 +0530] "POST /EADSession3/RegisterStudent HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:22:20 +0530] "GET /EADSession3/ShowStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:22:21 +0530] "GET /EADSession3/ShowStudent HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:23:12 +0530] "GET /EADSession3/ShowStudent HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:23:35 +0530] "GET /EADSession3/Index.html HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:23:36 +0530] "GET /EADSession3/ShowStudent.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:23:37 +0530] "GET /EADSession3/ShowStudent? HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:26:24 +0530] "GET /EADSession3/ShowStudent? HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [03/Feb/2020:17:29:14 +0530] "GET /EADSession3/ShowStudent? HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:35:05 +0530] "GET /EADSession3/Student.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:35:13 +0530] "GET /EADSession3/Student.html?search=pranjal&submit=submit HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:43:20 +0530] "GET /EADSession3/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:43:24 +0530] "GET /EADSession3/ShowStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:43:26 +0530] "GET /EADSession3/ShowStudent? HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [03/Feb/2020:18:51:32 +0530] "GET /EADSession3/Student.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:05:00 +0530] "GET /EADSession3/Index.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:05:01 +0530] "GET /EADSession3/SearchStudent.html HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:09 +0530] "GET /EADSession3/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:10 +0530] "GET /EADSession3/SearchStudent.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:17 +0530] "POST /EADSession3/SearchStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:41 +0530] "GET /EADSession3/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:42 +0530] "GET /EADSession3/SearchStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:07:58 +0530] "POST /EADSession3/SearchStudent HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:11 +0530] "GET /EADSession3/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:12 +0530] "GET /EADSession3/SearchStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Feb/2020:19:09:16 +0530] "POST /EADSession3/SearchStudent HTTP/1.1" 200 67
